"id","siteId","order","tip"
"giza_tip_1","giza","1","Bring plenty of water and sun protection"
"giza_tip_2","giza","2","Hire an official guide at the entrance"
"giza_tip_3","giza","3","The interior of the Great Pyramid is hot and cramped"
"giza_tip_4","giza","4","Visit the Solar Boat Museum"
"luxor_tip_1","luxor","1","Visit at sunset to see the temple transform"
"luxor_tip_2","luxor","2","The temple is in central Luxor - easy walk from hotels"
"luxor_tip_3","luxor","3","Look for the Abu Haggag Mosque built on top"
"valley_tip_1","valley_kings","1","Your ticket includes 3 tombs - choose wisely"
"valley_tip_2","valley_kings","2","Tutankhamun's tomb requires a separate ticket"
"valley_tip_3","valley_kings","3","No photography inside the tombs"
"karnak_tip_1","karnak","1","The complex is vast - wear comfortable shoes"
"karnak_tip_2","karnak","2","Don't miss the Sacred Lake"
"karnak_tip_3","karnak","3","The Hypostyle Hall is best in morning light"
"abu_simbel_tip_1","abu_simbel","1","Most visitors fly from Aswan"
"abu_simbel_tip_2","abu_simbel","2","The smaller temple honors Nefertari"
"abu_simbel_tip_3","abu_simbel","3","Visit the UNESCO relocation exhibition"
